subject_id,chapter_name,order_index,batch,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,FORCE,1,ICSE 10,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,"WORK, ENERGY & POWER",2,ICSE 10,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,MACHINE,3,ICSE 10,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE PULLEY DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,REFRACTION OF LIGHT AT PLANE SURFACE,4,ICSE 10,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE ALL DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,REFRACTION THROUGH A LENS,5,ICSE 10,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,PRACTISE ALL RAY DIAGRAMS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,SPECTRUM,6,ICSE 10,TEXTBOOK READING,DREAM 90 ALL GIVE REASONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,SOUND,7,ICSE 10,TEXTBOOK READING,DREAM 90 ALL GIVE REASONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,CURRENT ELECTRICITY,8,ICSE 10,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,HOUSEHOLD CIRCUITS,9,ICSE 10,TEXTBOOK READING,WRITE ALL COLOR CODE,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,ELECTRO-MAGNETISM,10,ICSE 10,TEXTBOOK READING,WRITE ALL FACTORS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,CALORIMETRY,11,ICSE 10,TEXTBOOK READING,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,DREAM 90 SOLVED NUMERICALS,,,,,
42f06757-09d7-409b-9a3d-4ff7bdcc2ce9,RADIOACTIVITY,12,ICSE 10,TEXTBOOK READING,WRITE ALL DEFINITIONS,TEXTBOOK SOLVED EXAMPLES,BOOK BACK QUESTIONS,ALL LWS,DREAM 90 MCQ AND AR,DREAM 90 PP MCQ,DREAM 90 PP SUBJECTIVE,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,PERIODIC TABLE,1,ICSE 10,READ CLASS NOTES,MAKE LIST OF ALL TRENDS AND EXCEPTIONS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,CHEMICAL BONDING,2,ICSE 10,READ CLASS NOTES,DRAW ALL 10 STRUCTURES 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,"ACID, BASES AND SALTS",3 (A),ICSE 10,READ CLASS NOTES,WRITE ALL DEFINITIONS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ANALYTICAL CHEMISTRY,3 (B),ICSE 10,READ CLASS NOTES,WRITE TEST FOR EVERY ION ONCE,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,MOLE CONCEPT,4 (A),ICSE 10,MAKE FORMULA LIST,SOLVE ALL TEXTBOOK SOLVED EXAMPLES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ELECTROLYSIS,5,ICSE 10,READ CLASS NOTES,MAKE LIST OF ALL ELECTROLYSIS PROCESS WITH OBSERVATION AT ELECTRODES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,METALLURGY,6,ICSE 10,READ CLASS NOTES,PRACTISE REACTIONS OF BAYERS AND HALLS PROCESS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,HYDROGEN CHLORIDE,7 (A),ICSE 10,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,AMMONIA,7 (B),ICSE 10,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,NITRIC ACID,7 (C),ICSE 10,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,SULPHURIC ACID,7 (D),ICSE 10,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,ORGANIC CHEMISTRY,8,ICSE 10,MAKE LIST OF TRICIAL NAMES 3 TIMES,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,,
c60c4ac3-a762-49d7-ab64-f128dbaf5f02,PRACTICAL CHEMISTRY,9,ICSE 10,WRITE  ALL TESTS THREE TIMES,READ CLASS NOTES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,GOODS AND SERVICE TAX,1,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,BANKING,2,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SHARES AND DIVIDENDS,3,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,LINEAR INEQUALITIES,4,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,QUADRATIC EQUATIONS,5,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SOLVING PROBLEM QUADRATIC EQUATIONS,6,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,RATIO AND PROPORTION,7,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,REMAINDER AND FACTOR THEOREM (FACTORISATION  OF POLYNOMIAL),8,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,MATRICES,9,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,ARITHMETIC  PROGRESSION,10,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
49a2b95f-76d9-4a69-9801-2ec82fa6636c,GEOMETRIC PROGRESSION,11,ICSE 10,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,,
